brandname,dateoftransaction,count
Fatburger,2020-09-22,66
Janie And Jack,2020-09-22,33
Air New Zealand,2020-09-23,1
Century Theatres,2020-09-23,2
Champion,2020-09-23,49
Chewy,2020-09-23,17
Fatburger,2020-09-23,51
Janie And Jack,2020-09-23,55
Air New Zealand,2020-09-24,1
Century Theatres,2020-09-24,6
Champion,2020-09-24,81
Chewy,2020-09-24,35
Fatburger,2020-09-24,119
Janie And Jack,2020-09-24,56
Air New Zealand,2020-09-25,1
Century Theatres,2020-09-25,3
Champion,2020-09-25,76
Chewy,2020-09-25,28
Fatburger,2020-09-25,52
Janie And Jack,2020-09-25,68
Air New Zealand,2020-09-26,1
Century Theatres,2020-09-26,9
Chewy,2020-09-26,14
Fatburger,2020-09-26,75
Champion,2020-09-26,72
Janie And Jack,2020-09-26,72
Air New Zealand,2020-09-27,10
Century Theatres,2020-09-27,2
Champion,2020-09-27,37
Chewy,2020-09-27,6
Fatburger,2020-09-27,29
Janie And Jack,2020-09-27,32
Air New Zealand,2020-09-28,1
Century Theatres,2020-09-28,5
Chewy,2020-09-28,5
Fatburger,2020-09-28,49
Janie And Jack,2020-09-28,98
Champion,2020-09-28,76
Century Theatres,2020-09-29,2
Champion,2020-09-29,36
Chewy,2020-09-29,59
Fatburger,2020-09-29,79
Janie And Jack,2020-09-29,30
Air New Zealand,2020-09-30,1
Century Theatres,2020-09-30,6
Champion,2020-09-30,41
Chewy,2020-09-30,57
Fatburger,2020-09-30,95
Janie And Jack,2020-09-30,50
Air New Zealand,2020-10-01,3
Century Theatres,2020-10-01,28
Champion,2020-10-01,134
Chewy,2020-10-01,42
Fatburger,2020-10-01,188
Janie And Jack,2020-10-01,147
Air New Zealand,2020-10-02,3
Century Theatres,2020-10-02,4
Champion,2020-10-02,72
Chewy,2020-10-02,32
Fatburger,2020-10-02,28
Janie And Jack,2020-10-02,51
Air New Zealand,2020-10-03,2
Century Theatres,2020-10-03,1
Champion,2020-10-03,40
Chewy,2020-10-03,16
Fatburger,2020-10-03,42
Janie And Jack,2020-10-03,60
Century Theatres,2020-10-04,7
Champion,2020-10-04,51
Chewy,2020-10-04,8
Fatburger,2020-10-04,58
Janie And Jack,2020-10-04,55
Century Theatres,2020-10-05,9
Champion,2020-10-05,32
Chewy,2020-10-05,39
Fatburger,2020-10-05,31
Janie And Jack,2020-10-05,27
Century Theatres,2020-10-06,4
Champion,2020-10-06,18
Chewy,2020-10-06,24
Fatburger,2020-10-06,33
Janie And Jack,2020-10-06,21
Century Theatres,2020-10-07,6
Champion,2020-10-07,34
Chewy,2020-10-07,11
Fatburger,2020-10-07,36
Janie And Jack,2020-10-07,31
Century Theatres,2020-10-08,15
Champion,2020-10-08,96
Chewy,2020-10-08,41
Fatburger,2020-10-08,95
Janie And Jack,2020-10-08,81
Air New Zealand,2020-10-09,3
